Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1424310,Credit reporting,,Incorrect information on credit report,Information is not mine,GA,30189,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1422862,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,AZ,85355,Web,6/16/2015,6/16/2015,Patenaude & Felix APC,Closed with explanation,Yes,
1424296,Debt collection,,Communication tactics,Frequent or repeated calls,AL,36856,Web,6/16/2015,6/16/2015,"Expert Global Solutions, Inc.",Closed with explanation,Yes,
1422680,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,CA,92111,Web,6/16/2015,6/19/2015,California Accounts Service,Closed with explanation,Yes,
1422998,Credit reporting,,Incorrect information on credit report,Account status,IL,60404,Web,6/16/2015,6/16/2015,Experian,Closed with non-monetary relief,Yes,
1422672,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,6088,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1422671,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,6088,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1422646,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CO,80220,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1422617,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,CA,94551,Web,6/16/2015,6/16/2015,Experian,Closed with non-monetary relief,Yes,
1422647,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CO,80220,Web,6/16/2015,6/16/2015,Equifax,In progress,Yes,
1422669,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NV,89128,Web,6/16/2015,6/16/2015,"Sentry Recovery and Collections, Inc.",Closed with explanation,Yes,Yes
